,nama_usaha,jenis_usaha,alamat,kelurahan,kecamatan,ada_nib,tidak_ada_nib,jumlah_karyawan_L,jumlah_karyawan_P,total_jumlah_karyawan,tahun,
122,Sajen Coffee,CAFE,Jl.Ledjen Suprapto,Marga Sari,Balikpapan Barat,x,v,1,2,3,2021,
123,Done Drink,CAFE,Jl.21 Januari,Baru Tengah,Balikpapan Barat,x,v,1,1,2,2021,
124,Café Harum Corner,CAFE,Jl.Jend.Sudirman,Damai Baru,Balikpapan Selatan,x,v,1,2,3,2021,
125,Café Bengkel Vnw,CAFE,"PV 4 No,67",Prapatan,Balikpapan Kota,v,x,0,1,1,2021,
126,Dd Café,CAFE,JL. Pelyaran,Prapatan,Balikpapan Kota,0,v,0,1,1,2021,
127,Café Puncak,CAFE,JL. Playaran,Prapatan,Balikpapan Kota,v,x,0,10,10,2021,
128,Nara Coffee,CAFE,Jl. Ahmad Yani,Klandasan Ilir,Balikpapan Kota,x,v,2,2,4,2021,
129,Warkop Dondang,CAFE,Jl. Dondang No. 62,Klandasan Ilir,Balikpapan Kota,x,x,0,4,4,2021,
130,Noe Vapor Eat & Drink,CAFE,Ruko Bandar,Klandasan Ulu,Balikpapan Kota,x,x,0,8,8,2021,
131,Café Rpm,CAFE,Ruko Bandar,Klandasan Ulu,Balikpapan Kota,x,x,0,9,9,2021,
132,Miming Coffee,CAFE,Ruko Bandar,Klandasan Ulu,Balikpapan Kota,v,x,10,8,18,2021,
133,Share Tea,CAFE,JL.Ahmad yani Rt.12 no.2,Gn. Sari Ilir,Balikpapan Tengah,x,v,0,4,4,2021,
134,"Rm,Es The",CAFE,Jl. Ahmad yani no.3,Gn. Sari Ilir,Balikpapan Tengah,x,v,3,0,3,2021,
135,Fri Coff,CAFE,Jl. Ahmad Yani RT.55 no.48,Gn. Sari Ilir,Balikpapan Tengah,x,v,3,1,4,2021,
136,Wani Kopi,CAFE,Jl. Ahmad Yani Rt. 55 no.39,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,6,7,2021,
137,Janji Jiwa,CAFE,Jl. Ahmad Yani,Gn. Sari Ilir,Balikpapan Tengah,v,x,3,3,6,2021,
138,Kebass Kopi,CAFE,Jl. Ahmad Yani,Gn. Sari Ilir,Balikpapan Tengah,v,x,1,0,1,2021,
139,Titik Koma,CAFE,Jl. Ahmad Yani Rt.44 no. 132,Gn. Sari Ilir,Balikpapan Tengah,v,x,0,3,3,2021,
140,Asana Kopi,CAFE,Jl. Ahmad Yani no.76,Gn. Sari Ilir,Balikpapan Tengah,x,v,4,1,5,2021,
141,Vinz Ice Cream,CAFE,"Jl, Kapt.P. Tendean No. 56",Gn. Sari Ilir,Balikpapan Tengah,x,v,2,3,5,2021,
142,Kayu Kopi,CAFE,Jl.pembangunan,Gn. Sari Ilir,Balikpapan Tengah,x,x,0,6,6,2021,
143,D'One Drink,CAFE,Jl.mekar sari rt.32 no.25,Gn. Sari Ilir,Balikpapan Tengah,x,v,2,2,4,2021,
144,Kopirang,CAFE,Jl.ahmad yani,Gn. Sari Ilir,Balikpapan Tengah,x,x,0,4,4,2021,
145,Bakoel Coffee,CAFE,Jl. Impres IV No. 72 RT. 11,Muara Rapak,Balikpapan Utara,x,v,1,0,1,2021,
146,Café Ndutz,CAFE,Jl. Inpres II RT. 48 No. 36,Muara Rapak,Balikpapan Utara,v,x,0,1,1,2021,
147,Granat Pattisseri Café,CAFE,Jl. Inpres II RT. 61,Muara Rapak,Balikpapan Utara,x,v,2,1,3,2021,
148,Colour Café,CAFE,Jl. Dua Gang Bengawan,Gn. Samarinda,Balikpapan Utara,v,x,0,2,2,2021,
149,Dame Burger,CAFE,Jl. Di Panjaitan Strat 1 RT. 79,Gn. Samarinda,Balikpapan Utara,v,x,3,0,3,2021,
150,D'One Drink,CAFE,Jl. Indrakila Strat 3 RT. 24,Gn. Samarinda,Balikpapan Utara,v,x,1,6,7,2021,
151,Street Bites,CAFE,Jl. Indrakila No. 53 Strat 3,Gn. Samarinda,Balikpapan Utara,v,x,1,1,2,2021,
152,Warkop 86,CAFE,Jl. Indrakila Strat 3 Gang Husada No. 111,Gn. Samarinda,Balikpapan Utara,x,v,1,2,3,2021,
153,The Taste Coffee Burger Bar,CAFE,Jl. Indrakila Strat 3 Depan SMP 3,Gn. Samarinda,Balikpapan Utara,x,v,0,3,3,2021,
154,Ruang Tunggu Café,CAFE,Jl. Wonorejo Blok A No.1,Gn. Samarinda Baru,Balikpapan Utara,v,x,0,2,2,2021,
155,Sephia Coffee,CAFE,Jl. Indrakila,Gn. Samarinda Baru,Balikpapan Utara,x,v,2,1,3,2021,
156,Sataku,CAFE,Jl. Indrakila No. 62 RT. 32 RW. 999,Gn. Samarinda Baru,Balikpapan Utara,v,x,0,1,1,2021,
157,Koplak,CAFE,Jl. Indrakila Kampung Timur,Gn. Samarinda Baru,Balikpapan Utara,x,v,1,0,1,2021,
158,21 Café,CAFE,Jl. Dua RT. 16 No. 68,Gn. Samarinda Baru,Balikpapan Utara,v,x,3,1,4,2021,
159,Café Rindu,CAFE,Jl. Indrakila Gang Satria No. 31 RT. 4,Gn. Samarinda Baru,Balikpapan Utara,v,x,1,3,4,2021,
160,Kedai Kopi Kulo,CAFE,Jl. Indrakila No. 24,Gn. Samarinda Baru,Balikpapan Utara,v,x,3,0,3,2021,
161,Kopi Batam,CAFE,Jl. Pattimura Blok D No. 1,Batu Ampar,Balikpapan Utara,v,x,6,1,7,2021,
162,Zaida Pondok Singkong,CAFE,"Jl. Soekarno Hatta KM 2,5",Muara Rapak,Balikpapan Utara,v,x,0,3,3,2021,
163,28 Coffee,CAFE,"Jl. Soekarno Hatta Km 2,5 No. 70",Batu Ampar,Balikpapan Utara,v,x,5,2,7,2021,
164,Jafas Coffee,CAFE,Jl. Soekarno Hatta KM. 3 RT. 19 No. 127A,Batu Ampar,Balikpapan Utara,v,x,1,1,2,2021,
165,Kopi Sandaran Hati,CAFE,Jl. A.W Syahrani RT. 39 No. 86A,Batu Ampar,Balikpapan Utara,x,v,0,3,3,2021,
166,Warung Barjo,CAFE,Jl.maijen sutoyo,Gn. Sari Ulu,Balikpapan Tengah,x,x,0,4,4,2021,
167,Nine Teeb Café,CAFE,Jl.beller,Gn. Sari Ulu,Balikpapan Tengah,x,v,5,1,6,2021,
168,Senja Coffe,CAFE,"Jl,mayor tni a.d no.29",Sumber Rejo,Balikpapan Tengah,x,v,3,5,8,2021,
169,Rute Café,CAFE,Jl.maijen di panjaitan no.29 rt.19,Sumber Rejo,Balikpapan Tengah,x,v,2,0,2,2021,
170,Amor,CAFE,Jl.di panjaitan,Gn. Guntur,Balikpapan Tengah,x,v,0,2,2,2021,
171,D Susk Caffe,CAFE,Jl.di panjaitan,Gn. Guntur,Balikpapan Tengah,x,v,1,1,2,2021,
172,Kopi Ruang Hati,CAFE,Jl.di panjaitan,Gn. Guntur,Balikpapan Tengah,x,v,0,3,3,2021,
173,White House Kitchen,CAFE,Jl.di panjaitan,Gn. Guntur,Balikpapan Tengah,x,v,1,1,2,2021,
174,Kedai Ngopinah,CAFE,Jl.mayjen s. parman,Gn. Guntur,Balikpapan Tengah,x,x,0,6,6,2021,
175,Cafen Resto Yeye,CAFE,Jl.ahmad yani,Gn. Sari Ulu,Balikpapan Tengah,x,v,1,1,2,2021,
176,Café N Kedai,CAFE,Jl. S. Pratman,Gn. Sari Ulu,Balikpapan Tengah,v,x,0,1,1,2021,
177,Sterno,CAFE,Jl.ahmad yani,Gn. Sari Ulu,Balikpapan Tengah,x,x,0,10,10,2021,
178,Kopi Hitam Manis,CAFE,Jl. Marsma R. Iswahyudi RT.26 NO. 449D,Sepinggan,Balikpapan Selatan,v,x,2,5,7,2021,
179,Kedai Kai Gaul,CAFE,Jl. Abdi Praja I No. 12 RT.25,Sepinggan Raya,Balikpapan Selatan,v,x,0,6,6,2021,
180,Tom Milk,CAFE,Jl. Abdi Praja I,Sepinggan Raya,Balikpapan Selatan,v,x,0,2,2,2021,
181,Alpokat Cake Bu Nyoman,CAFE,Jl. Abdi Praja VII,Sepinggan Raya,Balikpapan Selatan,x,v,0,1,1,2021,
182,Kedai Wong Kreatif,CAFE,Jl. Abdi Praja VII,Sepinggan Raya,Balikpapan Selatan,x,v,0,1,1,2021,
