,nama_usaha,jenis_usaha,alamat,kelurahan,kecamatan,ada_nib,tidak_ada_nib,jumlah_karyawan_L,jumlah_karyawan_P,total_jumlah_karyawan,tahun,
2266,Kontrakan,Penyediaan Akomodasi Lainnya,Jalan D.I. Panjaitan,Sumber Rejo,Balikpapan Tengah,v,x,0,1,1,2024,
2267,Rumah Kost Putih,Penyediaan Akomodasi Lainnya,Jalan Pandan Barat No. 77,Marga Sari,Balikpapan Barat,v,x,0,1,1,2024,
2268,Excelso Mall Balikpapan Baru ,Restoran,Mall Balikpapan Baru Jl. M.T. Haryono,Damai,Balikpapan Kota,v,x,5,1,6,2024,
2269,Rumah Kost,Penyediaan Akomodasi Lainnya,JL. SYARIFUDDIN YOES GG. BHINEKA 2 RT. 48 KEL. SEPINGGAN BARU KEC. BALIKPAPAN SELATAN,Sepinggan Baru,Balikpapan Selatan,v,x,0,1,1,2024,
2270,Kost Kostan,Penyediaan Akomodasi Lainnya,Jalan M.T. Haryono rt 24 no 63,Damai,Balikpapan Kota,v,x,0,1,1,2024,
2271,Sewa Kost,Penyediaan Akomodasi Lainnya,Perum Griya Prima Lestari Blok AN/3 RT 37 (Perum Polda Km. 7 Jalan Purnawirawan),Graha Indah,Balikpapan Utara,v,x,1,0,1,2024,
2272,Muzdalifah Kios,Penyediaan Akomodasi Lainnya,Jalan Soekarno-Hatta No.32,Batu Ampar,Balikpapan Utara,v,x,1,0,1,2024,
2273,Aktivitas Biro Perjalanan Wisata,Aktivitas Biro Perjalanan Wisata,JL. SENAYAN 27,Karang Rejo,Balikpapan Tengah,v,x,0,1,1,2024,
2274,Kos Kosan Zaheer,Penyediaan Akomodasi Lainnya,JL PADAT KARYA,Muara Rapak,Balikpapan Utara,v,x,0,1,1,2024,
2275,Restoran,Restoran,Jalan Projakal km 5.5,Graha Indah,Balikpapan Utara,v,x,0,2,2,2024,
2276,Shem Ramen - Pentacity Balikpapan,Restoran,"Pentacity Mall, GF Unit 31 & 18",Damai Bahagia,Balikpapan Selatan,v,x,11,14,25,2024,
2277,Kontrakan Alya,Penyediaan Akomodasi Lainnya,Jalan Pasar Gunung Tembak,Teritip,Balikpapan Timur,v,x,0,1,1,2024,
2278,Kost Ibu Kris,Penyediaan Akomodasi Lainnya,Jl. Mulawarman No 187 RT 059,Sepinggan,Balikpapan Selatan,v,x,1,0,1,2024,
2279,Kost Zelia,Penyediaan Akomodasi Lainnya,Jl. Mulawarman Gg. Slamaet Al Thary No. 29. RT. 011,Sepinggan,Balikpapan Selatan,v,x,0,1,1,2024,
2280,Aktivitas Biro Perjalanan Wisata,Aktivitas Biro Perjalanan Wisata,JL SIAGA RT 08 NO 76,Klandasan Ilir,Balikpapan Kota,v,x,0,1,1,2024,
2281,Kontrakan,Penyediaan Akomodasi Lainnya,"Jalan Letjend Suprapto ( Gn. Traktor ) RT. 25. No.109 Kelurahan Baru Tengah, Kecamatan Balikpapan Barat",Baru Tengah,Balikpapan Barat,v,x,0,2,2,2024,
2282,Kost Asri Bangun Reksa,Penyediaan Akomodasi Lainnya,Bangun Reksa Asri,Graha Indah,Balikpapan Utara,v,x,1,0,1,2024,
2283,Kontrakan,Penyediaan Akomodasi Lainnya,Jalan Blora 11 NO 57,Klandasan Ilir,Balikpapan Kota,v,x,0,1,1,2024,
2284,Rumah Kost Atau Rumah Sewa Syamsuddin,Penyediaan Akomodasi Lainnya,Jalan Swadaya II RT.59,Sepinggan Baru,Balikpapan Selatan,v,x,1,0,1,2024,
2285,Kos Vip,Penyediaan Akomodasi Lainnya,Jl. AMD L-III GG. Dahlia RT. 035 RW. 000,Damai Bahagia,Balikpapan Selatan,v,x,1,0,1,2024,
2286,Kos Kosan Syafira,Penyediaan Akomodasi Lainnya,Jalan BDS I,Damai Bahagia,Balikpapan Selatan,v,x,0,1,1,2024,
2287,Kontrakan,Penyediaan Akomodasi Lainnya,jl telkom no 45 rt 27,Gn. Sari Ilir,Balikpapan Tengah,v,x,0,2,2,2024,
2288,Hartini Kost,Penyediaan Akomodasi Lainnya,JL BUKIT SIAGA NO 204,Damai,Balikpapan Kota,v,x,1,0,1,2024,
2289,Venice,Aktivitas Kebugaran Lainnya,Mall Balikpapan Ocean Square LT.3l.Jend. sudirman RT.07,Klandasan Ilir,Balikpapan Kota,v,x,6,10,16,2024,
2290,Pt. Oto Global Transport,Aktivitas Biro Perjalanan Wisata,Jalan Marsma R. Iswahyudi No. 03,Sungai Nangka,Balikpapan Selatan,v,x,2,0,2,2024,
2291,Penyediaan Akomodasi Lainnya,Penyediaan Akomodasi Lainnya,Jl. indrakila RT.4,Gn. Samarinda Baru,Balikpapan Utara,v,x,2,3,5,2024,
2292,Jl Pandan Wangi No 48,Penyediaan Akomodasi Lainnya,jl pandan wangi no 48,Marga Sari,Balikpapan Barat,v,x,1,1,2,2024,
2293,Pondok Bu Trini,Penyediaan Akomodasi Lainnya,Jalan R.E. Martadinata,Gn. Sari Ilir,Balikpapan Tengah,v,x,0,1,1,2024,
2294,Pt Anglomas Perdana Mandiri,Restoran,Jl.Mulawarman No 124 A,Sepinggan Raya,Balikpapan Selatan,v,x,1,1,2,2024,
2295,Kontrakan Arbani,Penyediaan Akomodasi Lainnya,Jalan Mulawarman,Lamaru,Balikpapan Timur,v,x,1,1,2,2024,
2296,Aktivitas Biro Perjalanan Wisata,Aktivitas Biro Perjalanan Wisata,Jalan Mufakat No. 04 Rt. 009,Teritip,Balikpapan Timur,v,x,1,1,2,2024,
2297,Jasa Sewa Kos-Kosan Dan Kontrakan Rumah,Penyediaan Akomodasi Lainnya,JL SYARIFUDDIN YOES RT 094,Gn. Bahagia,Balikpapan Selatan,v,x,0,1,1,2024,
2298,Kontrakan Rumah,Penyediaan Akomodasi Lainnya,Jalan Inpres IV,Muara Rapak,Balikpapan Utara,v,x,0,1,1,2024,
2299,Kos-Kosan,Penyediaan Akomodasi Lainnya,Jl.mt haryono Gg.telkom Rt12 No.9,Damai Baru,Balikpapan Selatan,v,x,1,0,1,2024,
2300,Penyediaan Akomodasi Lainnya,Penyediaan Akomodasi Lainnya,Jl. MT.Haryono No.137,Graha Indah,Balikpapan Utara,v,x,3,3,6,2024,
2301,Jasa Deco Ruki,Penyediaan Akomodasi Lainnya,JL RE MARTADINATA NO 18 RT 25,Mekar Sari,Balikpapan Tengah,v,x,1,1,2,2024,
2302,Kos Kos Ibu Haji,Penyediaan Akomodasi Lainnya,Jl Abdul Wahab Syahrani RT 45 No 61,Batu Ampar,Balikpapan Utara,v,x,1,1,2,2024,
2303,Empat Rasa,Restoran,Jalan Jendral Sudirman Nomor 1,Klandasan Ulu,Balikpapan Kota,v,x,25,25,50,2024,
2304,Rocket Chicken,Restoran,Jalan Soekarno-Hatta,Batu Ampar,Balikpapan Utara,v,x,6,5,11,2024,
2305,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,Jl Dr Sutomo RT 15 NO 03 Karang Rejo,Karang Rejo,Balikpapan Tengah,v,x,0,1,1,2024,
2306,Invir Kost,Penyediaan Akomodasi Lainnya,Jalan Jokotole 3 RT. 058 RW. 000,Sumber Rejo,Balikpapan Tengah,v,x,0,1,1,2024,
2307,Rumah Kos,Penyediaan Akomodasi Lainnya,Jl Mekar Sari No 20 Rt 33,Gn. Sari Ilir,Balikpapan Tengah,v,x,0,1,1,2024,
2308,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,JL. PERSATUAN,Manggar Baru,Balikpapan Timur,v,x,0,1,1,2024,
2309,Rumah Kos,Penyediaan Akomodasi Lainnya,Perum. Bima Zamrud Blok F No. 8 RT. 30,Sungai Nangka,Balikpapan Selatan,v,x,0,2,2,2024,
2310,Rumah Kos Ida,Penyediaan Akomodasi Lainnya,JL MT Haryono Gg Pramuka No 07 RT 030,Damai,Balikpapan Kota,v,x,0,1,1,2024,
2311,Kontrakan Anjar,Penyediaan Akomodasi Lainnya,Jalan Telaga Mas,Gn. Samarinda Baru,Balikpapan Utara,v,x,0,1,1,2024,
2312,Rumah Kos,Penyediaan Akomodasi Lainnya,Jalan Green Valley,Gn. Sari Ulu,Balikpapan Tengah,v,x,0,1,1,2024,
2313,Rumah Kos,Penyediaan Akomodasi Lainnya,Jl. Pelita No 19,Sepinggan,Balikpapan Selatan,v,x,1,0,1,2024,
2314,Kontrakan Yuli Rawr,Penyediaan Akomodasi Lainnya,Jalan Pangeran Antasari,Karang Rejo,Balikpapan Tengah,v,x,1,0,1,2024,
2315,Kos Pupuk Barat,Penyediaan Akomodasi Lainnya,Jalan Pemuda Pupuk Barat VI,Damai Bahagia,Balikpapan Selatan,v,x,0,3,3,2024,
2316,Usaha Rumah Kontrakan,Penyediaan Akomodasi Lainnya,JL. PATIMURA GG. SONITEN NO.59 RT.026,Batu Ampar,Balikpapan Utara,v,x,2,0,2,2024,
2317,Daud,Penyediaan Akomodasi Lainnya,Jl. Syarifuddin yoes,Gn. Bahagia,Balikpapan Selatan,v,x,1,0,1,2024,
2318,Rumas Kost,Penyediaan Akomodasi Lainnya,"Jalan Darussilmi KM 5,5 No.106",Graha Indah,Balikpapan Utara,v,x,0,1,1,2024,
2319,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,PERUM BATAKAN,Manggar,Balikpapan Timur,v,x,1,0,1,2024,
2320,Pt. Indah Nusapenajam Jaya ,Daya Tarik Wisata Buatan,JL. GAJAH MADA NO. 5,Klandasan Ilir,Balikpapan Kota,v,x,4,1,5,2024,
2321,Rumah Kontrakkan,Penyediaan Akomodasi Lainnya,Jalan Sultan Hasanudin,Baru Ulu,Balikpapan Barat,v,x,1,0,1,2024,
2322,Jasa Kontrakan Rumah,Penyediaan Akomodasi Lainnya,JL kebagusan,Baru Ilir,Balikpapan Barat,v,x,0,1,1,2024,
2323,Karaoke,Karaoke,JL. Jend Sudirman Komp Balikpapan Perrmai Blok G1 No.36-43 RT. 16 ( NEW J ),Damai,Balikpapan Kota,v,x,7,3,10,2024,
2324,Kontrakan,Penyediaan Akomodasi Lainnya,Jl Dr Sutomo No 12 RT 008,Sumber Rejo,Balikpapan Tengah,v,x,0,1,1,2024,
2325,Kost,Penyediaan Akomodasi Lainnya,JL. Sumber Rejo II RT. 39,Sumber Rejo,Balikpapan Tengah,v,x,1,0,1,2024,
2326,Kontrakan,Penyediaan Akomodasi Lainnya,Jalan Karya Bakti,Damai Baru,Balikpapan Selatan,v,x,0,1,1,2024,
2327,Penyediaan Akomodasi Lainnya,Penyediaan Akomodasi Lainnya,JL. BUKIT CINTA NO. 55,Damai,Balikpapan Kota,v,x,0,2,2,2024,
2328,Jasa Sewa Kos-Kosan,Penyediaan Akomodasi Lainnya,JL JOKO TOLE NO. 23 A RT 045,Sumber Rejo,Balikpapan Tengah,v,x,0,1,1,2024,
2329,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,JL. MULAWARMAN,Manggar,Balikpapan Timur,v,x,0,1,1,2024,
2330,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,Jl. Jendral Sudirman,Klandasan Ilir,Balikpapan Kota,v,x,0,1,1,2024,
2331,Kost,Penyediaan Akomodasi Lainnya,Pondok Mentari Blok A41 Kel. Gunung Bahagia Kec. Balikpapan Selatan,Gn. Bahagia,Balikpapan Selatan,v,x,0,1,1,2024,
2332,Kontrakan,Penyediaan Akomodasi Lainnya,Jalan Pramuka,Damai,Balikpapan Kota,v,x,1,0,1,2024,
2333,Kontrakan Dam,Penyediaan Akomodasi Lainnya,Jalan Pramuka,Damai,Balikpapan Kota,v,x,1,0,1,2024,
2334,Kost Iskandar,Penyediaan Akomodasi Lainnya,Jalan Jenderal Sudirman,Klandasan Ilir,Balikpapan Kota,v,x,0,2,2,2024,
2335,Kost Santi,Penyediaan Akomodasi Lainnya,JLN PANDAN BARAT,Marga Sari,Balikpapan Barat,v,x,1,0,1,2024,
2336,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,JL GUNUNG POLISI NO 32 RT 48,Baru Ilir,Balikpapan Barat,v,x,1,0,1,2024,
2337,Kontrakan,Penyediaan Akomodasi Lainnya,jl. wonorejo no.61,Gn. Samarinda,Balikpapan Utara,v,x,0,1,1,2024,
2338,Kost Reyhan,Penyediaan Akomodasi Lainnya,Jl. Sungai Wain RT 35 KM 15 Kel. Karang Joang,Karang Joang,Balikpapan Utara,v,x,2,0,2,2024,
2339,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,Jalan Intan,Sepinggan,Balikpapan Selatan,v,x,0,1,1,2024,
2340,Kos Hidayat,Penyediaan Akomodasi Lainnya,JL TAMAN SEPINGGAN II NO. 39 RT.30 KEL.SEPINGGAN KEC.BALIKPAPAN SELATAN,Sepinggan,Balikpapan Selatan,v,x,0,1,1,2024,
2341,Daya Tarik Wisata Alam Lainnya,Daya Tarik Wisata Alam Lainnya,Jalan Proklamasi,Manggar,Balikpapan Timur,v,x,2,4,6,2024,
2342,Nabila Kost,Penyediaan Akomodasi Lainnya,Jl. Sungai Ampal No. 25 RT. 044,Sumber Rejo,Balikpapan Tengah,v,x,0,1,1,2024,
2343,Rumah Kos,Penyediaan Akomodasi Lainnya,Jalan Borneo Paradiso CL-1.2 B-10,Sepinggan,Balikpapan Selatan,v,x,0,1,1,2024,
2344,Gogi Paradise ,Restoran,Jalan Jenderal Sudirman,Klandasan Ulu,Balikpapan Kota,v,x,5,5,10,2024,
2345,Kontrakan,Penyediaan Akomodasi Lainnya,JL. EMPAT NO. 23,Gn. Samarinda,Balikpapan Utara,v,x,0,1,1,2024,
2346,Kost Orange Bu Lena,Penyediaan Akomodasi Lainnya,JL. SEPINGGAN BARU II NO. 26 RT. 038 KEL. SEPINGGAN KEC. BALIKPAPAN SELATAN,Sepinggan,Balikpapan Selatan,v,x,0,1,1,2024,
2347,Aktivitas Biro Perjalanan Wisata ,Aktivitas Biro Perjalanan Wisata,Jalan Apartemen Green Valley,Gn. Sari Ulu,Balikpapan Tengah,v,x,2,1,3,2024,
2348,Restoran,Restoran,PERUM. TAMAN BUKIT MUTIARA BLOK B3 NO. 01,Gn. Samarinda,Balikpapan Utara,v,x,1,2,3,2024,
2349,Bjorka Guest Houese,Penyediaan Akomodasi Lainnya,Jalan Milono,Klandasan Ulu,Balikpapan Kota,v,x,0,1,1,2024,
2350,Raffa Kost,Penyediaan Akomodasi Lainnya,"Jalan Praja Mukti Utara I No, 15 RT.026 RW.000",Sepinggan Baru,Balikpapan Selatan,v,x,0,2,2,2024,
2351,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,BATU AMPAR LESTARI BLOK E/37,Karang Joang,Balikpapan Utara,v,x,1,0,1,2024,
2352,Kontrakan Giato,Penyediaan Akomodasi Lainnya,Jl Teratai Merah No.56,Sepinggan,Balikpapan Selatan,v,x,0,1,1,2024,
2353,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,BATU AMPAR LESTARI BLOK E/37,Karang Joang,Balikpapan Utara,v,x,1,0,1,2024,
2354,Jazirah Berkah Tour,Aktivitas Biro Perjalanan Wisata,Jl Demokrasi Perum Kintamani No. D1,Batu Ampar,Balikpapan Utara,v,x,0,1,1,2024,
2355,Jasa Ojek Bermotor,Angkutan Darat Wisata,Jl Askit gg sampurna no 25 rt 11,Baru Ilir,Balikpapan Barat,v,x,0,1,1,2024,
2356,Kost Salmah,Penyediaan Akomodasi Lainnya,JL SEMOI,Marga Sari,Balikpapan Barat,v,x,0,1,1,2024,
2357,Kontrakan,Penyediaan Akomodasi Lainnya,JL SULTAN ALAUDDIN NO 32,Mekar Sari,Balikpapan Tengah,v,x,1,0,1,2024,
2358,Kontrakan,Penyediaan Akomodasi Lainnya,Jl Soekarno Hatta Km 5 Perumahan PGRI,Graha Indah,Balikpapan Utara,v,x,1,0,1,2024,
2359,Kos Kosan Ibu Saena,Penyediaan Akomodasi Lainnya,JL MARSMA R SIWAHYUDI,Sepinggan Raya,Balikpapan Selatan,v,x,0,1,1,2024,
2360,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,JL. PERSATUAN GANG BUNTU NO. 125,Manggar Baru,Balikpapan Timur,v,x,0,1,1,2024,
2361,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,Jalan Poros Samarinda - Balikpapan,Karang Joang,Balikpapan Utara,v,x,0,1,1,2024,
2362,Excelso,Restoran,"Plaza Balikpapan Lantai Ground Unit GF-16, Jl. Jenderal Sudirman No.1",Klandasan Ilir,Balikpapan Kota,v,x,2,4,6,2024,
2363,Kos Kosan,Penyediaan Akomodasi Lainnya,Jalan Pandan Arum No,Marga Sari,Balikpapan Barat,v,x,0,1,1,2024,
2364,Rumah Kost Agus,Penyediaan Akomodasi Lainnya,JL.MAYJEND SUTOYO NO 06,Klandasan Ilir,Balikpapan Kota,v,x,0,1,1,2024,
2365,Kost,Penyediaan Akomodasi Lainnya,Jl. Pemuda IV No. 48 RT. 013,Gn. Bahagia,Balikpapan Selatan,v,x,1,0,1,2024,
2366,Kos Kosan,Penyediaan Akomodasi Lainnya,Jalan Pandan Arum No,Marga Sari,Balikpapan Barat,v,x,0,1,1,2024,
2367,Kontrakan,Penyediaan Akomodasi Lainnya,PERUM PONDOK ASRI,Manggar,Balikpapan Timur,v,x,0,1,1,2024,
2368,Gilang,Penyediaan Akomodasi Lainnya,Jl. Ar Rahman Blok C No. 11,Manggar,Balikpapan Timur,v,x,1,2,3,2024,
2369,Rumah Sewaan,Penyediaan Akomodasi Lainnya,Jl. Siaga Dalam No. 25,Damai,Balikpapan Kota,v,x,0,1,1,2024,
2370,Kost Ibu Risna,Penyediaan Akomodasi Lainnya,Jl. Tepo KM 10,Karang Joang,Balikpapan Utara,v,x,1,0,1,2024,
2371,Sewaan Bu Tini,Penyediaan Akomodasi Lainnya,l. Siaga dalam no. 25 RT. 037,Damai,Balikpapan Kota,v,x,1,0,1,2024,
2372,Restoran Pizza Hut,Restoran,"Pizza Hut Soekarno Hatta, JI. Soekarno Hatta Km 4 No. 18-19",Batu Ampar,Balikpapan Utara,v,x,6,14,20,2024,
2373,Restoran,Restoran,Jl. Ahmad Yani No.18 Rt 19,Mekar Sari,Balikpapan Tengah,v,x,3,3,6,2024,
2374,Kontrakan Ruko,Penyediaan Akomodasi Lainnya,Jl letjend s parman no 14 rt 028,Gn. Sari Ulu,Balikpapan Tengah,v,x,0,1,1,2024,
2375,Kost,Penyediaan Akomodasi Lainnya,"JL. Kesatrian, Graha Indah. Gg, Simpati KM. 8",Graha Indah,Balikpapan Utara,v,x,1,0,1,2024,
2376,Kontrakan,Penyediaan Akomodasi Lainnya,"Jl 21 Januari No 41 RT 049 RW 000 Baru Tengah, Balikpapan Barat",Baru Tengah,Balikpapan Barat,v,x,0,1,1,2024,
2377,Tokyo Belly - Pentacity Balikpapan,Restoran,"Pentacity Mall, GF Unit 31 & 18",Damai Bahagia,Balikpapan Selatan,v,x,12,8,20,2024,
2378,The People'S Cafe - Pentacity Balikpapan ,Restoran,"Ground Floor GF No. 40-41 Pentacity Mall Balikpapan Superblock Jalan Jenderal Sudirman No.47 Gunung Bahagia Balikpapan Selatan, Gunung Bahagia, Superblock, Balikpapan, Kalimantan Timur, 76114.",Gn. Bahagia,Balikpapan Selatan,v,x,11,11,22,2024,
2379,Kontrakan,Penyediaan Akomodasi Lainnya,Jl 15 oktober no.50 rt.15,Baru Tengah,Balikpapan Barat,v,x,0,1,1,2024,
2380,Kost Aris,Penyediaan Akomodasi Lainnya,JL. BLORA 2 RT 25 NO. 50,Klandasan Ilir,Balikpapan Kota,v,x,1,0,1,2024,
2381,Kost Berkah Kirana (Omah By Kira.Keen),Penyediaan Akomodasi Lainnya,JL MT HARYONO NO 46,Gn. Bahagia,Balikpapan Selatan,v,x,0,1,1,2024,
2382,Aktivitas Biro Perjalanan Wisata ,Aktivitas Biro Perjalanan Wisata,Jalan Prona,Sepinggan Raya,Balikpapan Selatan,v,x,52,72,124,2024,
2383,Kontrakan Pribadi,Penyediaan Akomodasi Lainnya,jl.marsma r Iswahyudi,Sungai Nangka,Balikpapan Selatan,v,x,0,2,2,2024,
2384,Aktivitas Biro Perjalanan Wisata ,Aktivitas Biro Perjalanan Wisata,Jalan wiyata,Sepinggan Raya,Balikpapan Selatan,v,x,43,65,108,2024,
2385,Kost Chuu Living,Penyediaan Akomodasi Lainnya,Jalan Poros Samarinda - Balikpapan,Graha Indah,Balikpapan Utara,v,x,0,1,1,2024,
2386,Kos Kosan,Penyediaan Akomodasi Lainnya,Jl Prapatan Dalam No. 24 RT. 035 RW. 000,Prapatan,Balikpapan Kota,v,x,0,1,1,2024,
2387,Kost - Kost,Penyediaan Akomodasi Lainnya,Rukun Street,Sepinggan Raya,Balikpapan Selatan,v,x,1,0,1,2024,
2388,Penyediaan Akomodasi Lainnya,Penyediaan Akomodasi Lainnya,Jl. Mulawarman Transad KM.8 RT.03,Karang Joang,Balikpapan Utara,v,x,3,0,3,2024,
2389,Kost Suri,Penyediaan Akomodasi Lainnya,kalimantan timur,Manggar,Balikpapan Timur,v,x,0,1,1,2024,
2390,Rumah Kost,Penyediaan Akomodasi Lainnya,"Jln. MT Haryono, GG. Mutiara 1, No. 33 Rt. 67",Batu Ampar,Balikpapan Utara,v,x,0,1,1,2024,
2391,Kos Kosan,Penyediaan Akomodasi Lainnya,Jl MT HARYONO PERUM BALIKPAPAN 2 BLOK O NO. 04,Sepinggan Raya,Balikpapan Selatan,v,x,0,1,1,2024,
2392,Kos-Kosan,Penyediaan Akomodasi Lainnya,JL. Bukit Niaga RT. 14 No. 67,Klandasan Ilir,Balikpapan Kota,v,x,1,0,1,2024,
2393,Kos Kosan,Penyediaan Akomodasi Lainnya,Jl MT HARYONO PERUM BALIKPAPAN 2 BLOK O NO. 04,Sepinggan Raya,Balikpapan Selatan,v,x,1,0,1,2024,
2394,Allbiz Connect Indonesia,Aktivitas Biro Perjalanan Wisata,JL. SOEKARNO HATTA KM 22 NO. 038,Karang Joang,Balikpapan Utara,v,x,0,1,1,2024,
2395,Kost Chuu Living,Penyediaan Akomodasi Lainnya,JL SOEKARNO HATTA KM 8,Batu Ampar,Balikpapan Utara,v,x,0,1,1,2024,
2396,Kos Ricky,Penyediaan Akomodasi Lainnya,"Jl. P. Antasari No. 10, RT. 004 RW. 000",Karang Rejo,Balikpapan Tengah,v,x,1,0,1,2024,
2397,Kontrakan,Penyediaan Akomodasi Lainnya,Gg bahari,Baru Ilir,Balikpapan Barat,v,x,0,1,1,2024,
2398,Biro Perjalanan Wisata,Aktivitas Biro Perjalanan Wisata,Komp. Balikpapan regency cluster de’castarica blok JE 9 no 6,Sepinggan Baru,Balikpapan Selatan,v,x,0,2,2,2024,
2399,Jasa Rumah Sewa,Penyediaan Akomodasi Lainnya,Jl. Penegak No.73 A RT.009,Damai Bahagia,Balikpapan Selatan,v,x,0,1,1,2024,
2400,Kost,Penyediaan Akomodasi Lainnya,JL PROJAKAL KM 5.5 GANG SS NO 61 A,Graha Indah,Balikpapan Utara,v,x,1,0,1,2024,
2401,Kost,Penyediaan Akomodasi Lainnya,SDEGDTH,Karang Joang,Balikpapan Utara,v,x,1,0,1,2024,
2402,Rumah Kost Maura Suci,Penyediaan Akomodasi Lainnya,Jl. Karya Bhakti RT. 041 No. 57,Graha Indah,Balikpapan Utara,v,x,0,1,1,2024,
2403,Kemala Maju Berkarya,Penyediaan Akomodasi Lainnya,Jalan Jenderal Sudirman No. 06,Prapatan,Balikpapan Kota,v,x,0,1,1,2024,
2404,Usaha Kos-Kosan Dan Kontrakan,Penyediaan Akomodasi Lainnya,JL. BUKIT PELAJAR RT.039,Baru Tengah,Balikpapan Barat,v,x,1,0,1,2024,
2405,Pt. Minang Bersama Balikpapan ,Restoran,JL. MT. HARYONO NO. 09,Damai Baru,Balikpapan Selatan,v,x,2,3,5,2024,
2406, Pg Kost,Penyediaan Akomodasi Lainnya,Jalan Ulin Raya,Batu Ampar,Balikpapan Utara,v,x,1,0,1,2024,
2407,Rumah Kontarakan,Penyediaan Akomodasi Lainnya,Jl Batu Ratna KM 11 RT 057,Karang Joang,Balikpapan Utara,v,x,1,0,1,2024,
2408,Kost Labani,Penyediaan Akomodasi Lainnya,Jl. Padat Karya RT 08 No 36,Manggar,Balikpapan Timur,v,x,0,1,1,2024,
2409,Kos Thamrin,Penyediaan Akomodasi Lainnya,Jl. Milono Gang Rajawali No.76 RT.045,Klandasan Ulu,Balikpapan Kota,v,x,2,0,2,2024,
2410,Aktivitas Biro Perjalanan Wisata,Aktivitas Biro Perjalanan Wisata,"JL. Taman Sari, Kavling 4, Gg. Kakatua, Blok E-13, RT. 23",Graha Indah,Balikpapan Utara,v,x,1,0,1,2024,
2411,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,JL WONO AGUNG NO 74,Graha Indah,Balikpapan Utara,v,x,0,1,1,2024,
2412,Sogogi Korean Resto,Restoran,SOGOGI KOREAN RESTO JL. WILUYO PUSPOYUDO NO. 31,Klandasan Ulu,Balikpapan Kota,v,x,2,9,11,2024,
2413,Latansa Visa Solutions,Aktivitas Biro Perjalanan Wisata,JL. SOEKARNO HATTA KM. 22 NO. 038,Karang Joang,Balikpapan Utara,v,x,1,0,1,2024,
2414,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,JL WONO AGUNG NO 74,Graha Indah,Balikpapan Utara,v,x,1,0,1,2024,
2415,Kontrakan,Penyediaan Akomodasi Lainnya,Stalkuda Street,Gn. Bahagia,Balikpapan Selatan,v,x,0,1,1,2024,
2416,Kos Kosan,Penyediaan Akomodasi Lainnya,"Komple wika (Taman Sari Bukit Mutiara) Blok C3 no 12a, Balikpapan",Batu Ampar,Balikpapan Utara,v,x,1,0,1,2024,
2417,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,JL PANDAN ARUM,Marga Sari,Balikpapan Barat,v,x,0,2,2,2024,
2418,Antartika Jaya Abadi,Angkutan Darat Wisata,"JL. MT Haryono No.59 Dumai bahagia, Balikpapan Selatan",Damai Bahagia,Balikpapan Selatan,v,x,2,0,2,2024,
2419,Kost Pak Achmadi,Penyediaan Akomodasi Lainnya,Jl. Tata Praja V Blok LB No.04 RT.22,Gn. Bahagia,Balikpapan Selatan,v,x,2,0,2,2024,
2420,Penyediaan Akomodasi Lainnya,Penyediaan Akomodasi Lainnya,"Jl. Sepinggan Baru II Gg Makmur No.91, RT.059",Sepinggan Baru,Balikpapan Selatan,v,x,2,1,3,2024,
2421,Kontrakan,Penyediaan Akomodasi Lainnya,Jl soekar hatta km 8,Graha Indah,Balikpapan Utara,v,x,1,0,1,2024,
2422,Tempat Bermain Anak-Anak (Playground Indoor),ARENA KETANGKASAN,"Jl. Mayjend Sutoyo No.18, RT.52",Klandasan Ilir,Balikpapan Kota,v,x,0,1,1,2024,
2423,Kost Sandra Syariah,Penyediaan Akomodasi Lainnya,JL. LETJEND S. PARMAN GG. ABADI RT. 026 NO. 11,Gn. Sari Ulu,Balikpapan Tengah,v,x,0,1,1,2024,
2424,Kos Kosan,Penyediaan Akomodasi Lainnya,Gang Mawar I,Prapatan,Balikpapan Kota,v,x,1,0,1,2024,
2425,Penyediaan Akomodasi Lainnya,Penyediaan Akomodasi Lainnya,"Jl. Mayor TNI AD, Imat Saili gang Cornelis RT.45",Sumber Rejo,Balikpapan Tengah,v,x,0,2,2,2024,
2426,Kontrakan Achmad,Penyediaan Akomodasi Lainnya,Jalan 21 Januari,Baru Tengah,Balikpapan Barat,v,x,0,1,1,2024,
2427,Penyediaan Akomodasi Lainnya,Penyediaan Akomodasi Lainnya,"Perum BDS 1 Blok A5 No. 24, Rt. 031",Damai Bahagia,Balikpapan Selatan,v,x,1,1,2,2024,
2428,The Beach House ,Restoran,Jalan Mulawarman No. 14,Manggar,Balikpapan Timur,v,x,6,4,10,2024,
